reviewAction,inducteeId,inducteeName,classYear,placeLabel,placeScopeHint,confidence,evidenceCount,evidenceTypes,sourcePageUrls,existingCountryTags,inferredCountryTags,safeguardStatus,migrationDirection,publicUse
geography-safeguard-review,le-nguyen-2026,Le Nguyen,2026,Vietnam,needs-review,0.62,2,wordpress-tag,https://clevelandinternationalhalloffame.com/le-nguyen-class-of-2026-vietnames-heritage-cleveland-international-hall-of-fame/|https://clevelandinternationalhalloffame.com/le-nguyen/,Vietnam,,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,lucy-torres-2026,Lucy Torres,2026,Puerto Rico,needs-review,0.62,1,wordpress-tag,https://clevelandinternationalhalloffame.com/lucy-torres/,Puerto Rico,,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,robert-j-haas-2010,Robert J. Haas,2010,Germany,needs-review,0.38,1,source-phrase,https://clevelandinternationalhalloffame.com/robert-j-haas-2010/,Germany,,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,dr-jaya-shah-2012,Dr. Jaya Shah,2012,USA,united-states,0.38,1,source-phrase,https://clevelandinternationalhalloffame.com/dr-jaya-shah-2012/,India,India,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,vladimir-rus-2012,Vladimir Rus,2012,Greater Cleveland,cleveland-or-northeast-ohio,0.38,1,source-phrase,https://clevelandinternationalhalloffame.com/vladimir-rus-2012/,Croatia,,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,bishop-a-edward-pevec-2013,Bishop A. Edward Pevec,2013,Cleveland,cleveland-or-northeast-ohio,0.38,1,source-phrase,https://clevelandinternationalhalloffame.com/bishop-a-edward-pevec-2013/,Slovenia,Slovenia,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,jack-coyne-2013,Jack Coyne,2013,Cleveland,cleveland-or-northeast-ohio,0.38,1,source-phrase,https://clevelandinternationalhalloffame.com/john-jack-coyne-2013/,Ireland,,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,bishop-anthony-pilla-2015,Bishop Anthony Pilla,2015,Cleveland,cleveland-or-northeast-ohio,0.38,1,source-phrase,https://clevelandinternationalhalloffame.com/bishop-anthony-pilla-2015/,Italy,,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,richard-a-ganim-2015,Richard A. Ganim,2015,Cleveland,cleveland-or-northeast-ohio,0.38,1,source-phrase,https://clevelandinternationalhalloffame.com/richard-ganim-2015/,Lebanon,,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,shiv-k-aggarwal-2015,Shiv K. Aggarwal,2015,India,needs-review,0.38,1,source-phrase,https://clevelandinternationalhalloffame.com/shiv-k-aggarwal-2015/,India,,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,carolyn-balogh-2016-2016,Carolyn Balogh – 2016,2016,Cleveland,cleveland-or-northeast-ohio,0.38,2,source-phrase,https://clevelandinternationalhalloffame.com/carolyn-balogh-2016/|https://clevelandinternationalhalloffame.com/induction-event-info/carolyn-balogh/,Hungary,Hungary,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,jim-craciun-2017,Jim Craciun,2017,Cleveland,cleveland-or-northeast-ohio,0.38,1,source-phrase,https://clevelandinternationalhalloffame.com/inductees-europe/jim-craciun/,Italy|Romania,,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,sheila-murphy-crawford-2018,Sheila Murphy Crawford,2018,County Cork,needs-review,0.38,1,source-phrase,https://clevelandinternationalhalloffame.com/inductees-europe/sheila-murphy-crawford/,Ireland,,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,margaret-lynch-2020,Margaret Lynch,2020,County Mayo,needs-review,0.38,1,source-phrase,https://clevelandinternationalhalloffame.com/margaret-lynch/,Ireland,,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,taras-szmagala-2022,Taras Szmagala,2022,Cleveland,cleveland-or-northeast-ohio,0.38,1,source-phrase,https://clevelandinternationalhalloffame.com/taras-szmagala/,Ukraine,,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,pierre-bejjani-2023,Pierre Bejjani,2023,Lebanon,needs-review,0.38,1,source-phrase,https://clevelandinternationalhalloffame.com/pierre-bejjani/,Lebanon,,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,dona-brady-2024,Dona Brady,2024,Cleveland,cleveland-or-northeast-ohio,0.38,1,source-phrase,https://clevelandinternationalhalloffame.com/inductees/dona-brady/,Albania,,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,beverly-kerecman-2025,Beverly Kerecman,2025,Cleveland,cleveland-or-northeast-ohio,0.38,1,source-phrase,https://clevelandinternationalhalloffame.com/beverly-kerecman/,Japan,,needs-geography-review,not-inferred,candidate-only
geography-safeguard-review,andy-chakalis-2026,Andy Chakalis,2026,Greece,needs-review,0.38,1,source-phrase,https://clevelandinternationalhalloffame.com/andy-chakalis/,Greece,Greece,needs-geography-review,not-inferred,candidate-only
