recordedName,band,inductedCount,inducted,candidateInducteeId,candidateName,candidateBasis,candidateVerificationLayer,candidateEvidence,proposedCount,proposedLabels,currentStatus,decision,inducteeId,decisionReference,note
Sudarshan Sathe,ambiguous,2,mona-alag-2017 ramesh-shah-2020,sudarshan-sathe-2023 dr-jaya-shah-2012,Sudarshan Sathe | Dr. Jaya Shah,corpus-induction-record,canonical-profile-field,Inducted by Sudarshan Sathe.,0,,inductee,,sudarshan-sathe-2023,,
Aidan Cronin Consul General of Ireland,no-candidate,1,jack-coyne-2013,,,,,,0,,not-an-inductee,,,,
Aklilu Demessie,single-candidate,1,carl-robson-2022,aklilu-demessie-2026,Aklilu Demessie,corpus-induction-record,canonical-profile-field,Inducted by Aklilu Demessie.,1,inducted Carl Robson,inductee,,aklilu-demessie-2026,,
Albert Ratner,single-candidate,1,valarie-mccall-2020,albert-b-ratner-2011,Albert B. Ratner,corpus-induction-record,documented-source-candidate,Original CIHOF profile lists inducted by Albert Ratner.,1,inducted Valarie McCall,inductee,,albert-b-ratner-2011,,
Amb Byrne Nason,no-candidate,1,ambassador-edward-f-crawford-2024,,,,,,0,,not-an-inductee,,,,
Amb Kristjan Prikk,no-candidate,1,erika-puussaar-2024,,,,,,0,,not-an-inductee,,,,
Andres Gonzalez,no-candidate,1,luis-martinez-2011,,,,,,0,,not-an-inductee,,,,
Andrew Fedynsky,single-candidate,1,taras-szmagala-2022,andy-fedynsky-2026,Andy Fedynsky,corpus-induction-record,archive-supported-external-source,"Taras Szmagala inducted into Cleveland International Hall of Fame 2022 Class, by Andrew Fedynsky",1,inducted Taras Szmagala,inductee,,andy-fedynsky-2026,,
Angie Spitalieri,no-candidate,1,nacy-panzica-2013,,,,,,0,,not-an-inductee,,,,
Anthony Brancatelli,no-candidate,1,ray-pianka-2018,,,,,,0,,not-an-inductee,,,,
Armond Budish,no-candidate,1,akram-boutros-2019,,,,,,0,,not-an-inductee,,,,
August Pust,single-candidate,1,bill-miller-2017,august-pust-2010,August Pust,corpus-induction-record,canonical-profile-field,Inducted by August Pust.,1,inducted Bill Miller,inductee,,august-pust-2010,,
Baiju Shah,no-candidate,1,sudarshan-sathe-2023,,,,,,0,,not-an-inductee,,,,
Basil Russo,single-candidate,1,joyce-mariani-2023,basil-russo-2017,Basil Russo,corpus-induction-record,canonical-profile-field,Inducted by Basil Russo.,1,inducted Joyce Mariani,inductee,,basil-russo-2017,,
BenStefanski,no-candidate,1,eugene-bak-2014,,,,,,0,,not-an-inductee,,,,
Chris Ronayne,no-candidate,1,paul-burik-2019,,,,,,0,,not-an-inductee,,,,
Congressman Louis Stokes,no-candidate,1,reverend-dr-otis-moss-jr-2011,,,,,,0,,not-an-inductee,,,,
Councilman Joe Cimperman,no-candidate,1,vladimir-rus-2012,,,,,,0,,not-an-inductee,,,,
Dagmar Celeste,no-candidate,1,anda-cook-2022,,,,,,0,,not-an-inductee,,,,
Dan Coughlin,no-candidate,1,jack-kahl-2016,,,,,,0,,not-an-inductee,,,,
Dick Pogue,single-candidate,1,jim-foster-2014,dick-pogue-2015,Dick Pogue,corpus-induction-record,canonical-profile-field,Inducted by Dick Pogue.,1,inducted Jim Foster,inductee,,dick-pogue-2015,,
Dr. Alex Johnson,no-candidate,1,victor-ruiz-2022,,,,,,0,,not-an-inductee,,,,
Dr. Andrew P. Roth,no-candidate,1,samuel-h-miller-2013,,,,,,0,,not-an-inductee,,,,
Dr. Anton Komar,no-candidate,1,svetlana-stolyarova-2025,,,,,,0,,not-an-inductee,,,,
Dr. Joe Wendel,no-candidate,1,robert-j-haas-2010,,,,,,0,,not-an-inductee,,,,
"Dr. Menna Demessie, Ph.D.",no-candidate,1,aklilu-demessie-2026,,,,,,0,,not-an-inductee,,,,
Dr. Nizar Zein,no-candidate,1,wael-khoury-2017,,,,,,0,,not-an-inductee,,,,
Dr. Wael Khoury,single-candidate,1,hon-mary-rose-oakar-2012,wael-khoury-2017,Wael Khoury,corpus-induction-record,canonical-profile-field,Inducted by Dr. Wael Khoury.,1,inducted Hon. Mary Rose Oakar,inductee,,wael-khoury-2017,,
Edith Lauer,no-candidate,1,jeanette-grasselli-brown-2010,,,,,,0,,not-an-inductee,,,,
Ernie Mihaly,single-candidate,1,richard-fleischman-2019,ernie-mihaly-2014,Ernie Mihaly,corpus-induction-record,canonical-profile-field,Inducted by Ernie Mihaly.,1,inducted Richard Fleischman,inductee,,ernie-mihaly-2014,,
Former Mayor Frank G. Jackson; remarks by Valarie McCall and Matt Zone,no-candidate,1,le-nguyen-2026,,,,,,0,,not-an-inductee,,,,
Gabriella and Joseph Rosalina,no-candidate,1,basil-russo-2017,,,,,,0,,not-an-inductee,,,,
"George E. Jaskiw, M.D.",no-candidate,1,andy-fedynsky-2026,,,,,,0,,not-an-inductee,,,,
George Hwang,no-candidate,1,donna-hom-2014,,,,,,0,,not-an-inductee,,,,
Ingrida Bublys,single-candidate,1,senator-george-voinovich-2010,ingrida-bublys-2019,Ingrida Bublys,corpus-induction-record,canonical-profile-field,Inducted by Ingrida Bublys.,1,inducted Senator George Voinovich,inductee,,ingrida-bublys-2019,,
Jack Kahl,single-candidate,1,fr-jim-o-donnell-2012,jack-kahl-2016,Jack Kahl,corpus-induction-record,canonical-profile-field,Inducted by Jack Kahl.,1,inducted Fr. Jim O’Donnell,inductee,,jack-kahl-2016,,
Jasmin Santana,no-candidate,1,veronica-dahlberg-2024,,,,,,0,,not-an-inductee,,,,
Jason Lin,no-candidate,1,joseph-p-meissner-2014,,,,,,0,,not-an-inductee,,,,
John Borkowski,no-candidate,1,helen-karpinski-1899-2002-2010,,,,,,0,,not-an-inductee,,,,
John O'Brien Jr.,no-candidate,1,marilyn-madigan-2019,,,,,,0,,not-an-inductee,,,,
Jose Feliciano,single-candidate,1,sister-alicia-alvarado-2018,jose-c-feliciano-2012,José C. Feliciano,corpus-induction-record,documented-source-candidate,Original CIHOF profile lists inducted by Jose Feliciano.,1,inducted Sister Alicia Alvarado,inductee,,jose-c-feliciano-2012,,
José Feliciano,single-candidate,1,honorable-jose-a-villanueva-2015,jose-c-feliciano-2012,José C. Feliciano,corpus-induction-record,documented-source-candidate,Original CIHOF profile lists inducted by José Feliciano.,1,inducted Honorable José A. Villanueva,inductee,,jose-c-feliciano-2012,,
Jure Zmauc Consul General of Slovenia,no-candidate,1,bishop-a-edward-pevec-2013,,,,,,0,,not-an-inductee,,,,
Jure Žmauc Consul General of Slovenia,no-candidate,1,august-pust-2010,,,,,,0,,not-an-inductee,,,,
Justice Terrence O'Donnell,no-candidate,1,ralph-j-perk-2011,,,,,,0,,not-an-inductee,,,,
Karin McCutcheon,no-candidate,1,catherine-jorgensen-mccutcheon-2026,,,,,,0,,not-an-inductee,,,,
Ken Kovach,single-candidate,1,lucretia-stoica-2011,ken-kovach-2012,Ken Kovach,corpus-induction-record,canonical-profile-field,Inducted by Ken Kovach.,1,inducted Lucretia Stoica,inductee,,ken-kovach-2012,,
Ken Lanci,no-candidate,1,ratanjit-s-sondhe-2013,,,,,,0,,not-an-inductee,,,,
Ki Kim,no-candidate,1,sam-kim-2017,,,,,,0,,not-an-inductee,,,,
Kona Gant,no-candidate,1,margaret-callander-2014,,,,,,0,,not-an-inductee,,,,
Len Komoroski,no-candidate,1,dr-maria-pujana-2013,,,,,,0,,not-an-inductee,,,,
Lisa Wong,no-candidate,1,beverly-kerecman-2025,,,,,,0,,not-an-inductee,,,,
Loree Vick,no-candidate,1,dick-russ-2015,,,,,,0,,not-an-inductee,,,,
Lou Frangos,no-candidate,1,andy-chakalis-2026,,,,,,0,,not-an-inductee,,,,
Lt. Colonel Joe Meisner,no-candidate,1,dr-dieu-thuc-do-2010,,,,,,0,,not-an-inductee,,,,
Margot Maurer,no-candidate,1,josef-holzer-2013,,,,,,0,,not-an-inductee,,,,
Maria Pujana,single-candidate,1,carolyn-balogh-2016-2016,dr-maria-pujana-2013,Dr. Maria Pujana,corpus-induction-record,canonical-profile-field,Inducted by Maria Pujana.,1,inducted Carolyn Balogh,inductee,,dr-maria-pujana-2013,,
Mary Rose Oakar,single-candidate,1,ralph-perk-jr-2018,hon-mary-rose-oakar-2012,Hon. Mary Rose Oakar,corpus-induction-record,canonical-profile-field,Inducted by Mary Rose Oakar.,1,inducted Ralph Perk Jr.,inductee,,hon-mary-rose-oakar-2012,,
Matt Zone,no-candidate,1,jim-craciun-2017,,,,,,0,,not-an-inductee,,,,
Mayor Jane Campbell,no-candidate,1,steve-mulloy-2015,,,,,,0,,not-an-inductee,,,,
Mayor Richard Dell’Aquila,no-candidate,1,rev-mikhail-mikhail-2016,,,,,,0,,not-an-inductee,,,,
Mayor Tony Biasiotta,no-candidate,1,pierre-bejjani-2023,,,,,,0,,not-an-inductee,,,,
Michael Shreshta,no-candidate,1,shiv-k-aggarwal-2015,,,,,,0,,not-an-inductee,,,,
Mona Alag,single-candidate,1,paramjit-singh-2010,mona-alag-2017,Mona Alag,corpus-induction-record,canonical-profile-field,Inducted by Mona Alag.,1,inducted Paramjit Singh,inductee,,mona-alag-2017,,
Pat Dowd,single-candidate,1,lonnie-mccauley-2010,pat-dowd-2023,Pat Dowd,corpus-induction-record,canonical-profile-field,Inducted by Pat Dowd.,1,inducted Lonnie McCauley,inductee,,pat-dowd-2023,,
Peter de la Porte,single-candidate,1,arnie-de-la-porte-2016-2016,ingrida-bublys-2019,Ingrida Bublys,corpus-induction-record,documented-in-profile,"Here is a partial list of Arnie’s accomplishments: Past Co-Chairman of the Cleveland Tall Ship Festival Past Grand Commodore of the Ohio Commodores Honorary chair of the Rotary Club of Cleveland Honorary president of the Cleveland Rotary Club Past Chairman of the Cuyahoga Valley Scenic Railroad Past Chairman of the board of the Elyria Country Club Board member northern Ohio district export council (Nominated By US Secretary of Commerce) Founding Board member of the French American Chamber Founding Board member of the British American Chamber of Commerce Founding Board member of the Netherlands Chamber of Commerce Founding Board member of the Benelux Business Association Founding Board member of the German Roundtable Past president of the Cleveland World Trade Association Past board member of the Greater Cleveland Growth Association Past board member State of Ohio economic development Council Founding board member business advisory board Maine Maritime Academy, in Castine, ME Founding Board member Cleveland World Trade Association Foundation Founding board member North East Ohio Trade Network He was awarded the “Ordre National du Mérite” by the country of France His motto was: “Trading nations seldom go to war.” Peter de la Porte and Ingrida Bublys Cleveland International Hall of Fame Class of 2016 Arnie de la Porte was inducted into the 2016 Class of the Cleveland International Hall of Fame on the evening of April 26, 2016.",1,inducted Arnie de la Porte,inductee,,ingrida-bublys-2019,,
Raj Pillai,no-candidate,1,vijaya-l-emani-2011,,,,,,0,,not-an-inductee,,,,
Ramesh Shah,single-candidate,1,sree-sreenath-2019,ramesh-shah-2020,Ramesh Shah,corpus-induction-record,canonical-profile-field,Inducted by Ramesh Shah.,1,inducted Sree Sreenath,inductee,,ramesh-shah-2020,,
Ratanjit Sondhe,no-candidate,1,dr-jaya-shah-2012,,,,,,0,,inductee,,ratanjit-s-sondhe-2013,,
Rev Otis Moss Jr.,no-candidate,1,dr-eugene-jordan-2024,,,,,,0,,inductee,,reverend-dr-otis-moss-jr-2011,,
Richard Buoncore,no-candidate,1,atul-mehta-2018,,,,,,0,,not-an-inductee,,,,
Richard Fleischman,single-candidate,1,ernie-mihaly-2014,richard-fleischman-2019,Richard Fleischman,corpus-induction-record,canonical-profile-field,Inducted by Richard Fleischman.,1,inducted Ernie Mihaly,inductee,,richard-fleischman-2019,,
Rose Wong,no-candidate,1,margaret-w-wong-2010,,,,,,0,,not-an-inductee,,,,
Sanjiv Kapur,no-candidate,1,dick-pogue-2015,,,,,,0,,not-an-inductee,,,,
Stuart Muszynski,no-candidate,1,raj-aggarwal-2025,,,,,,0,,not-an-inductee,,,,
Suresh Bafna,no-candidate,1,mohan-bafna-2016,,,,,,0,,not-an-inductee,,,,
Terry Stewart,no-candidate,1,tony-petkovsek-2011,,,,,,0,,not-an-inductee,,,,
Thomas Zenty,no-candidate,1,monte-ahuja-2014,,,,,,0,,not-an-inductee,,,,
Tom Scanlon,no-candidate,1,gerald-m-quinn-2011,,,,,,0,,inductee,,thomas-j-scanlon-2014,,
Tom Turkaly,no-candidate,1,branka-malinar-2025,,,,,,0,,not-an-inductee,,,,
Umberto Fedeli,no-candidate,1,paul-sciria-2010,,,,,,0,,not-an-inductee,,,,
Urszula Gacek Polish General Consul,no-candidate,1,eugenia-stolarczyk-2016-2016,,,,,,0,,not-an-inductee,,,,
Valarie McCall,single-candidate,1,mayor-frank-jackson-2025,valarie-mccall-2020,Valarie McCall,corpus-induction-record,canonical-profile-field,Inducted by Valarie McCall.,1,inducted Mayor Frank Jackson,inductee,,valarie-mccall-2020,,
Valerie Schwonek,no-candidate,1,irene-morrow-2010,,,,,,0,,not-an-inductee,,,,
"Wong, Margaret",no-candidate,1,anthony-yen-yan-yuan-tai-2012,,,,,,0,,inductee,,margaret-w-wong-2010,,
