placeId,name,band,neighborhood,tieCount,people,shortHistory,currentlyReviewed,contentVersion,approve,newHistory,decisionReference,note
place:can-tho-vietnam,"Can Tho, Vietnam",lead,,1,Le Nguyen,,false,place-6017b974ebbf,,,,
place:canton-ohio,"Canton, Ohio",lead,,1,Veronica Dahlberg,,false,place-8c6a602d57d1,,,,
place:cleveland,Cleveland,lead,,1,Rev. Mikhail Mikhail,,false,place-f5a40333b568,,,,
place:detroit-michigan,"Detroit, Michigan",lead,,1,Erika Puussaar,,false,place-5b1372ab082c,,,,
place:east-technical-high-school,East Technical High School,researched,Central,1,Mayor Frank Jackson,"Mayor Frank Jackson's record identifies East Technical High School as the setting for his January 2, 2006 mayoral swearing-in, making it a civic memory point in this collection.",false,place-c5d5cc2756f7,,,,
place:garracloon-county-mayo,"Garracloon, County Mayo",lead,,1,Gerald M. Quinn,,false,place-24e9620024c6,,,,
place:greater-cleveland-ethnographic-museum,Greater Cleveland Ethnographic Museum,researched,Greater Cleveland,1,August Pust,The museum initiative appears in August Pust's biography and points to the preservation of Cleveland's ethnic and cultural histories.,true,place-04fad1aa93b1,,,,
place:guangdong-province-in-southern-china,Guangdong province in southern China,lead,,1,Donna Hom,,false,place-41d06786bb82,,,,
place:hong-kong,Hong Kong,lead,,1,Johnny K. Wu,,false,place-92f9fc99b398,,,,
place:india,India,lead,,1,Shiv K. Aggarwal,,false,place-3ffd0fc7d0e8,,,,
place:kurnool,Kurnool,lead,,1,Vijaya L. Emani,,false,place-0795496f3c1b,,,,
place:la-grange-ga,"La Grange, GA",lead,,1,"Reverend Dr. Otis Moss, Jr.",,false,place-4370956a938c,,,,
place:max-s-hayes-high-school,Max S. Hayes High School,researched,West Side,1,Mayor Frank Jackson,"Mayor Frank Jackson's biography identifies Max S. Hayes High School as part of his Cleveland education story before military service, college, law, and public office.",true,place-c356e828650a,,,,
place:poland,Poland,lead,,1,Eugene Bak,,false,place-e2e6ed9e71e8,,,,
place:puerto-rico,Puerto Rico,lead,,1,Victor Ruiz,,false,place-7a950b19d07a,,,,
place:rach-gia-viet-nam,"Rach Gia, Viet Nam",lead,,1,Dr. Dieu Thuc Do,,false,place-9b9dad94331c,,,,
place:rijeka-flume-croatia,"Rijeka (Flume), Croatia",lead,,1,Vladimir Rus,,false,place-619b1d4be258,,,,
place:shaker-heights,Shaker Heights,lead,,1,Jack Coyne,,false,place-37f20e93949e,,,,
place:st-clair-superior,St. Clair-Superior,researched,St. Clair-Superior,1,Carl Robson,"St. Clair-Superior is included as an east side neighborhood shaped by cultural, business, and community organizations. This starter record keeps the place available for deeper neig",false,place-99926f5d3cca,,,,
place:st-colman-church,St. Colman Church,researched,Near West Side,1,Fr. Jim O’Donnell,St. Colman appears in Fr. Jim O'Donnell's CIHOF record and represents the role of churches as neighborhood anchors in Cleveland's immigrant and civic life.,false,place-c3836df8c947,,,,
place:utuado-puerto-rico,"Utuado, Puerto Rico",lead,,1,Honorable José A. Villanueva,,false,place-bde7bd674a25,,,,
place:vietnam,Vietnam,lead,,1,Giahoa Ryan,,false,place-68524bdc7f56,,,,
place:villalba-puerto-rico,"Villalba, Puerto Rico",lead,,1,Sister Alicia Alvarado,,false,place-41f878f6fefc,,,,
place:warren-ohio-mr,"Warren, Ohio, Mr",lead,,1,Alex Machaskee,,false,place-8db0189d7384,,,,
place:yauco-puerto-rico,"Yauco, Puerto Rico",lead,,1,José C. Feliciano,,false,place-83ab0703a1e4,,,,
place:youngstown-ohio,"Youngstown, Ohio",lead,,1,Lucretia Stoica,,false,place-a600ac92d019,,,,
place:albania,Albania,lead,,0,,,false,place-1dd48115e90a,,,,
place:beachwood,Beachwood,lead,,0,,,false,place-6b50049fc9b1,,,,
place:buckeye,Buckeye,lead,,0,,,false,place-c3d6c4bfb381,,,,
place:china,China,lead,,0,,,false,place-d484ebe1379c,,,,
place:cleveland-clinic,Cleveland Clinic,lead,,0,,,false,place-5b844920f3ef,,,,
place:cleveland-heights,Cleveland Heights,lead,,0,,,false,place-c778bedc301f,,,,
place:collinwood,Collinwood,lead,,0,,,false,place-d62cbd55d1c9,,,,
place:county-cork,County Cork,lead,,0,,,false,place-301013da3323,,,,
place:county-mayo,County Mayo,lead,,0,,,false,place-f271803f8bc3,,,,
place:cultrual-garden,Cultrual Garden,lead,,0,,,false,place-5cd599a5de3b,,,,
place:detroit-shoreway,Detroit Shoreway,lead,,0,,,false,place-37aa42a9ba0a,,,,
place:downtown,Downtown,lead,,0,,,false,place-6fc28380b3e9,,,,
place:egypt,Egypt,lead,,0,,,false,place-3cdd847ea830,,,,
place:estonia,Estonia,lead,,0,,,false,place-2f4779faca8c,,,,
place:ethiopia,Ethiopia,lead,,0,,,false,place-24cdd44932d5,,,,
place:germany,Germany,lead,,0,,,false,place-ee113bf3b802,,,,
place:glenville,Glenville,lead,,0,,,false,place-1e4099869fa2,,,,
place:greater-cleveland,Greater Cleveland,lead,,0,,,false,place-91a29b4c9eff,,,,
place:greece,Greece,lead,,0,,,false,place-e0ead2c62976,,,,
place:hungary,Hungary,lead,,0,,,false,place-53450508341a,,,,
place:italian-garden,Italian Garden,lead,,0,,,false,place-f6a69eccf296,,,,
place:italy,Italy,lead,,0,,,false,place-af8bb252f743,,,,
place:japan,Japan,lead,,0,,,false,place-3f8689b6d720,,,,
place:kinsman,Kinsman,lead,,0,,,false,place-02f88f7926a9,,,,
place:lakewood,Lakewood,lead,,0,,,false,place-578af95e290e,,,,
place:latvia,Latvia,lead,,0,,,false,place-c206a14733d1,,,,
place:lebanon,Lebanon,lead,,0,,,false,place-6d9dd6ae6817,,,,
place:lithuania,Lithuania,lead,,0,,,false,place-663919af514f,,,,
place:little-italy,Little Italy,lead,,0,,,false,place-d0faeefc9b8c,,,,
place:near-west-side,Near West Side,lead,,0,,,false,place-dbc3935f2a51,,,,
place:norway,Norway,lead,,0,,,false,place-7774912167e5,,,,
place:rockefeller-park,Rockefeller Park,lead,,0,,,false,place-c7daab37ef9b,,,,
place:russia,Russia,lead,,0,,,false,place-92c8e3a799b1,,,,
place:slavic-village,Slavic Village,lead,,0,,,false,place-2142c0644bb8,,,,
place:st-clair,St. Clair,lead,,0,,,false,place-bdb49bc57599,,,,
place:tremont,Tremont,lead,,0,,,false,place-0acd4d257321,,,,
place:ukraine,Ukraine,lead,,0,,,false,place-78e6b87b6741,,,,
place:university-circle,University Circle,lead,,0,,,false,place-945868f07e9a,,,,
place:usa,USA,lead,,0,,,false,place-7fd2e30b1653,,,,
place:ward-5,Ward 5,lead,,0,,,false,place-8e2751f252d2,,,,
place:west-park,West Park,lead,,0,,,false,place-908ed9d39d46,,,,
