placeId,name,band,neighborhood,tieCount,people,shortHistory,currentlyReviewed,approve,decisionReference,note
place:united-states,United States,lead,,2,Giahoa Ryan | Shiv K. Aggarwal,,false,,,
place:ashtabula,Ashtabula,lead,,1,Veronica Dahlberg,,false,,,
place:beachwood-ohio,"Beachwood, Ohio",lead,,1,Alex Machaskee,,false,,,
place:bentleyville-oh,"Bentleyville, OH",lead,,1,Taras Szmagala,,false,,,
place:cairo-egypt,"Cairo, Egypt",lead,,1,Rev. Mikhail Mikhail,,false,,,
place:can-tho-vietnam,"Can Tho, Vietnam",lead,,1,Le Nguyen,,false,,,
place:canton-ohio,"Canton, Ohio",lead,,1,Veronica Dahlberg,,false,,,
place:cleveland,Cleveland,lead,,1,Rev. Mikhail Mikhail,,false,,,
place:detroit-michigan,"Detroit, Michigan",lead,,1,Erika Puussaar,,false,,,
place:east-technical-high-school,East Technical High School,researched,Central,1,Mayor Frank Jackson,"Mayor Frank Jackson's record identifies East Technical High School as the setting for his January 2, 2006 mayoral swearing-in, making it a civic memory point in this collection.",false,,,
place:garracloon-county-mayo,"Garracloon, County Mayo",lead,,1,Gerald M. Quinn,,false,,,
place:greater-cleveland-ethnographic-museum,Greater Cleveland Ethnographic Museum,researched,Greater Cleveland,1,August Pust,The museum initiative appears in August Pust's biography and points to the preservation of Cleveland's ethnic and cultural histories.,false,,,
place:guangdong-province-in-southern-china,Guangdong province in southern China,lead,,1,Donna Hom,,false,,,
place:hong-kong,Hong Kong,lead,,1,Johnny K. Wu,,false,,,
place:india,India,lead,,1,Shiv K. Aggarwal,,false,,,
place:kurnool,Kurnool,lead,,1,Vijaya L. Emani,,false,,,
place:la-grange-ga,"La Grange, GA",lead,,1,"Reverend Dr. Otis Moss, Jr.",,false,,,
place:max-s-hayes-high-school,Max S. Hayes High School,researched,West Side,1,Mayor Frank Jackson,"Mayor Frank Jackson's biography identifies Max S. Hayes High School as part of his Cleveland education story before military service, college, law, and public office.",false,,,
place:poland,Poland,lead,,1,Eugene Bak,,false,,,
place:puerto-rico,Puerto Rico,lead,,1,Victor Ruiz,,false,,,
place:rach-gia-viet-nam,"Rach Gia, Viet Nam",lead,,1,Dr. Dieu Thuc Do,,false,,,
place:rijeka-flume-croatia,"Rijeka (Flume), Croatia",lead,,1,Vladimir Rus,,false,,,
place:shaker-heights,Shaker Heights,lead,,1,Jack Coyne,,false,,,
place:st-clair-superior,St. Clair-Superior,researched,St. Clair-Superior,1,Carl Robson,"St. Clair-Superior is included as an east side neighborhood shaped by cultural, business, and community organizations. This starter record keeps the place available for deeper neig",false,,,
place:st-colman-church,St. Colman Church,researched,Near West Side,1,Fr. Jim O’Donnell,St. Colman appears in Fr. Jim O'Donnell's CIHOF record and represents the role of churches as neighborhood anchors in Cleveland's immigrant and civic life.,false,,,
place:utuado-puerto-rico,"Utuado, Puerto Rico",lead,,1,Honorable José A. Villanueva,,false,,,
place:vietnam,Vietnam,lead,,1,Giahoa Ryan,,false,,,
place:villalba-puerto-rico,"Villalba, Puerto Rico",lead,,1,Sister Alicia Alvarado,,false,,,
place:warren-ohio-mr,"Warren, Ohio, Mr",lead,,1,Alex Machaskee,,false,,,
place:yauco-puerto-rico,"Yauco, Puerto Rico",lead,,1,José C. Feliciano,,false,,,
place:youngstown-ohio,"Youngstown, Ohio",lead,,1,Lucretia Stoica,,false,,,
place:albania,Albania,lead,,0,,,false,,,
place:beachwood,Beachwood,lead,,0,,,false,,,
place:buckeye,Buckeye,lead,,0,,,false,,,
place:china,China,lead,,0,,,false,,,
place:cleveland-clinic,Cleveland Clinic,lead,,0,,,false,,,
place:cleveland-heights,Cleveland Heights,lead,,0,,,false,,,
place:collinwood,Collinwood,lead,,0,,,false,,,
place:county-cork,County Cork,lead,,0,,,false,,,
place:county-mayo,County Mayo,lead,,0,,,false,,,
place:cultrual-garden,Cultrual Garden,lead,,0,,,false,,,
place:detroit-shoreway,Detroit Shoreway,lead,,0,,,false,,,
place:downtown,Downtown,lead,,0,,,false,,,
place:egypt,Egypt,lead,,0,,,false,,,
place:estonia,Estonia,lead,,0,,,false,,,
place:ethiopia,Ethiopia,lead,,0,,,false,,,
place:germany,Germany,lead,,0,,,false,,,
place:glenville,Glenville,lead,,0,,,false,,,
place:greater-cleveland,Greater Cleveland,lead,,0,,,false,,,
place:greece,Greece,lead,,0,,,false,,,
place:hungary,Hungary,lead,,0,,,false,,,
place:italian-garden,Italian Garden,lead,,0,,,false,,,
place:italy,Italy,lead,,0,,,false,,,
place:japan,Japan,lead,,0,,,false,,,
place:kinsman,Kinsman,lead,,0,,,false,,,
place:lakewood,Lakewood,lead,,0,,,false,,,
place:latvia,Latvia,lead,,0,,,false,,,
place:lebanon,Lebanon,lead,,0,,,false,,,
place:lithuania,Lithuania,lead,,0,,,false,,,
place:little-italy,Little Italy,lead,,0,,,false,,,
place:near-west-side,Near West Side,lead,,0,,,false,,,
place:norway,Norway,lead,,0,,,false,,,
place:rockefeller-park,Rockefeller Park,lead,,0,,,false,,,
place:russia,Russia,lead,,0,,,false,,,
place:slavic-village,Slavic Village,lead,,0,,,false,,,
place:st-clair,St. Clair,lead,,0,,,false,,,
place:tremont,Tremont,lead,,0,,,false,,,
place:ukraine,Ukraine,lead,,0,,,false,,,
place:university-circle,University Circle,lead,,0,,,false,,,
place:usa,USA,lead,,0,,,false,,,
place:ward-5,Ward 5,lead,,0,,,false,,,
place:west-park,West Park,lead,,0,,,false,,,
