id,name,class_year,source_profile_url,approve_summary,approved_summary,documented_context_line,honored_for_summary,life_work_summary,approve_country_tags,approved_country_tags,country_note,curator_notes
paul-sciria-2010,Paul Sciria,2010,https://clevelandinternationalhalloffame.com/paul-sciria-2010/,yes,"Paul Sciria Born to Sicilian immigrants, Angelo and Felicia Sciria, on November 3, 1928, Paul Angelo Sciria was welcomed to the world in their family home at 151st and Kinsman. He grew up in the Kinsman area where he attended A.J. Rickoff Elementary, A. Hamilton Junior High and...",Class of 2010 honoree connected to Italian. Inducted by Umberto Fedeli.,"Contributions to arts and culture, business and entrepreneurship, and education within Italian heritage communities and to Greater Cleveland's multicultural civic life.","Paul Sciria Born to Sicilian immigrants, Angelo and Felicia Sciria, on November 3, 1928, Paul Angelo Sciria was welcomed to the world in their family home at 151st and Kinsman. He grew up in the Kinsman area where he attended A.J. Rickoff Elementary, A. Hamilton Junior High and John Adams High School. He attended The Ohio State University for college. And was also a member of the ROTC. Following his OSU days, Sciria attended the Marshall School of Law.",yes,Italian,First-pass nationality/heritage tags promoted from CIHOF profile text and class/source-page context. Source: https://clevelandinternationalhalloffame.com/paul-sciria-2010/,"First-pass visitor copy generated from CIHOF official profile text on 2026-09-12.|Treat CIHOF profile text as the baseline source of truth for this pass.|Media rights, video captions/transcripts, and WRHS archival permissions remain separate review tracks."
robert-j-haas-2010,Robert J. Haas,2010,https://clevelandinternationalhalloffame.com/robert-j-haas-2010/,yes,"Robert (Bob) Haas was born and raised on Cleveland’s west side. Married for 17 years to his wife Barbara, Bob has two sons and three grand children.",Class of 2010 honoree connected to German. Inducted by Dr. Joe Wendel.,"Contributions to arts and culture, civic leadership, and business and entrepreneurship within German heritage communities and to Greater Cleveland's multicultural civic life.","Robert (Bob) Haas was born and raised on Cleveland’s west side. Married for 17 years to his wife Barbara, Bob has two sons and three grand children. He graduated from St. Edward High School, attended John Carroll University, and graduated from the Ohio Highway Patrol Police Academy. Hired by the City of Berea Police Department, he served 15 years as a patrol officer. He was then promoted and served 10 years as a detective before being named the department’s Community Relations Officer, a post he held for 10 years prior to his retirement in 2010.",yes,German,First-pass nationality/heritage tags promoted from CIHOF profile text and class/source-page context. Source: https://clevelandinternationalhalloffame.com/robert-j-haas-2010/,"First-pass visitor copy generated from CIHOF official profile text on 2026-09-12.|Treat CIHOF profile text as the baseline source of truth for this pass.|Media rights, video captions/transcripts, and WRHS archival permissions remain separate review tracks."
senator-george-voinovich-2010,Senator George Voinovich,2010,https://clevelandinternationalhalloffame.com/senator-george-voinovich-2010/,yes,"Senator George Voinovich From his time as member of the Ohio House of Representatives, Cuyahoga County Commissioner, Lieutenant Governor of Ohio, Mayor of Cleveland and Governor of Ohio, to his present role as Ohio’s senior United States Senator, George V. Voinovich has strived for more than 40 years...","Class of 2010 honoree connected to Serbian, Slovenian. Inducted by Ingrida Bublys.","Contributions to civic leadership, diplomacy and global affairs, and arts and culture within Serbian and Slovenian heritage communities and to Greater Cleveland's multicultural civic life.","Senator George Voinovich From his time as member of the Ohio House of Representatives, Cuyahoga County Commissioner, Lieutenant Governor of Ohio, Mayor of Cleveland and Governor of Ohio, to his present role as Ohio’s senior United States Senator, George V. Voinovich has strived for more than 40 years to make all levels of government “work harder and smarter and do more with less.” As mayor of Cleveland, USA Today credited him with “turning the nation’s 22nd largest city from a laughingstock in the 1970s into a three-time All-America City winner during the 1980s” after Cleveland became the first major city to declare bankruptcy since the Depression. His work rebuilding the city through public-private partnerships earned him praise from...",yes,Serbian|Slovenian,First-pass nationality/heritage tags promoted from CIHOF profile text and class/source-page context. Source: https://clevelandinternationalhalloffame.com/senator-george-voinovich-2010/,"First-pass visitor copy generated from CIHOF official profile text on 2026-09-12.|Treat CIHOF profile text as the baseline source of truth for this pass.|Media rights, video captions/transcripts, and WRHS archival permissions remain separate review tracks."
albert-b-ratner-2011,Albert B. Ratner,2011,https://clevelandinternationalhalloffame.com/albert-b-ratner-2011/,yes,"Albert B. Ratner is co-chairman of the board of Forest City Enterprises, Inc. He has been in the commercial and residential real estate industry with Forest City since 1951.",Class of 2011 honoree connected to Jewish. Inducted by Sam Miller.,"Contributions to business and entrepreneurship, education, and civic leadership within Jewish heritage communities and to Greater Cleveland's multicultural civic life.","Albert B. Ratner is co-chairman of the board of Forest City Enterprises, Inc. He has been in the commercial and residential real estate industry with Forest City since 1951. Ratner is well known as a long time community booster for Cleveland and a leader in its Jewish community. He is a life trustee of the Cleveland Jewish Community Federation and a member of the International Council of the American Jewish Joint Distribution Committee. In the company’s hometown of Cleveland, Ratner was the driving force behind Forest City’s dramatic redevelopment of the Terminal Tower and the former Union Terminal into Tower City Center, a mixed-use complex with a multi-floor mall, office space and hotel.",yes,Jewish,First-pass nationality/heritage tags promoted from CIHOF profile text and class/source-page context. Source: https://clevelandinternationalhalloffame.com/albert-b-ratner-2011/,"First-pass visitor copy generated from CIHOF official profile text on 2026-09-12.|Treat CIHOF profile text as the baseline source of truth for this pass.|Media rights, video captions/transcripts, and WRHS archival permissions remain separate review tracks."
gerald-m-quinn-2011,Gerald M. Quinn,2011,https://clevelandinternationalhalloffame.com/gerald-m-quinn-2011/,yes,"Gerald M. Quinn, an award winning broadcaster and community leader born in Garracloon, County Mayo (pop. 44) and now living in Euclid, has played a decisive part in keeping Cleveland area Irish in touch with their heritage.",Class of 2011 honoree connected to Irish. Inducted by Tom Scanlon.,Contributions to community leadership within Irish heritage communities and to Greater Cleveland's multicultural civic life.,"Gerald M. Quinn, an award winning broadcaster and community leader born in Garracloon, County Mayo (pop. 44) and now living in Euclid, has played a decisive part in keeping Cleveland area Irish in touch with their heritage. He conceived and chaired the efforts that led to the founding of Cleveland’s Irish American Club – East Side in 1978 and the Mayo Society in 2004. His weekly show, Gerry Quinn Irish Radio (WHK 1420), 31 years on the air, has received the Achievement in Radio Award (A.I.R) and was named Best Ethnic Program in Northeast Ohio. Gerald Michael Quinn was introduced to the achievements of civilization at the local National School a few miles from Ballina, a school which...",yes,Irish,First-pass nationality/heritage tags promoted from CIHOF profile text and class/source-page context. Source: https://clevelandinternationalhalloffame.com/gerald-m-quinn-2011/,"First-pass visitor copy generated from CIHOF official profile text on 2026-09-12.|Treat CIHOF profile text as the baseline source of truth for this pass.|Media rights, video captions/transcripts, and WRHS archival permissions remain separate review tracks."
giahoa-ryan-2011,Giahoa Ryan,2011,https://clevelandinternationalhalloffame.com/giahoa-ryan-2011/,yes,"Giahoa Ryan Luong Thi Gia Hoa Ryan was born in Viet Nam, the oldest of twelve children. She worked for U.S. Government as Interpreter and Secretary during the Vietnam War and supervised local workers for the U.S. Government.",Class of 2011 honoree connected to Vietnamese. Inducted by Margaret Wong.,"Contributions to business and entrepreneurship, civic leadership, and arts and culture within Vietnamese heritage communities and to Greater Cleveland's multicultural civic life.","Giahoa Ryan Luong Thi Gia Hoa Ryan was born in Viet Nam, the oldest of twelve children. She worked for U.S. Government as Interpreter and Secretary during the Vietnam War and supervised local workers for the U.S. Government. She immigrated to United States in 1971. Her vast experience includes opening and owning The Moonlight Restaurant in Lorain as well as various other food service businesses. She is currently the Manager and Director of Sai Gon Plaza.",yes,Vietnamese,First-pass nationality/heritage tags promoted from CIHOF profile text and class/source-page context. Source: https://clevelandinternationalhalloffame.com/giahoa-ryan-2011/,"First-pass visitor copy generated from CIHOF official profile text on 2026-09-12.|Treat CIHOF profile text as the baseline source of truth for this pass.|Media rights, video captions/transcripts, and WRHS archival permissions remain separate review tracks."
lucretia-stoica-2011,Lucretia Stoica,2011,https://clevelandinternationalhalloffame.com/lucretia-stoica-2011/,yes,"Lucretia Stoica was born in Youngstown, Ohio. As a young child she travelled to Romania where she grew up and completed her University studies obtaining a Master Degree in Law, Literature and Philosophy. As an American abroad, she was among the first to be repatriated by the American...",Class of 2011 honoree connected to Romanian. Inducted by Ken Kovach.,"Contributions to immigrant advocacy, business and entrepreneurship, and arts and culture within Romanian heritage communities and to Greater Cleveland's multicultural civic life.","Lucretia Stoica was born in Youngstown, Ohio. As a young child she travelled to Romania where she grew up and completed her University studies obtaining a Master Degree in Law, Literature and Philosophy. As an American abroad, she was among the first to be repatriated by the American government after World War II. Upon return to Cleveland Lucretia joined the staff of the International Institute of the YWCA, a non-profit agency now known as the International Services Center. She served the agency first as a case worker, then as a Deputy Director, and finally as its Executive Director for 26 years. On June 1, 1988 she retired after 41 years of service.",yes,Romanian,First-pass nationality/heritage tags promoted from CIHOF profile text and class/source-page context. Source: https://clevelandinternationalhalloffame.com/lucretia-stoica-2011/,"First-pass visitor copy generated from CIHOF official profile text on 2026-09-12.|Treat CIHOF profile text as the baseline source of truth for this pass.|Media rights, video captions/transcripts, and WRHS archival permissions remain separate review tracks."
luis-martinez-2011,Luis Martinez,2011,https://clevelandinternationalhalloffame.com/luis-martinez-2011/,yes,"Luis Martinez was born in Bayamon, Puerto Rico and moved with his family from Puerto Rico to Lorain, Ohio when he was 3 years old. He graduated from Lorain Admiral King High School in 1966.",Class of 2011 honoree connected to Puerto Rican. Inducted by Andres Gonzalez.,Contributions to education and civic leadership within Puerto Rican heritage communities and to Greater Cleveland's multicultural civic life.,"Luis Martinez was born in Bayamon, Puerto Rico and moved with his family from Puerto Rico to Lorain, Ohio when he was 3 years old. He graduated from Lorain Admiral King High School in 1966. He served with the U.S. Marines in Vietnam where he was awarded 2 Purple Hearts for wounds sustained in combat while serving with a Combined Action Group. He contributed the chapter titled, “A Puerto Rican Marine” and is found on the cover of the New York Times Bestseller EVERYTHING WE HAD, An Oral History of the Vietnam War by Thirty-three American Soldiers Who Fought It by Al Santoli (Random House, 1981). In 1973, Mr. Martinez moved to Cleveland, Ohio and joined the Recruitment...",yes,Puerto Rican,First-pass nationality/heritage tags promoted from CIHOF profile text and class/source-page context. Source: https://clevelandinternationalhalloffame.com/luis-martinez-2011/,"First-pass visitor copy generated from CIHOF official profile text on 2026-09-12.|Treat CIHOF profile text as the baseline source of truth for this pass.|Media rights, video captions/transcripts, and WRHS archival permissions remain separate review tracks."
ralph-j-perk-2011,Ralph J. Perk,2011,https://clevelandinternationalhalloffame.com/ralph-perk-2011/mayor-ralph-perk-2011/,yes,"Ralph J. Perk The City of Cleveland’s 52nd mayor, Ralph J. Perk, was well known for his human rights advocacy and his anti-communist, anti-totalitarian stance. Before becoming Mayor, Perk served Ward 13 (Broadway/East 55th area) as its council member for five terms.",Class of 2011 honoree connected to Czech. Inducted by Justice Terrence O'Donnell.,"Contributions to civic leadership, law and justice, and arts and culture within Czech heritage communities and to Greater Cleveland's multicultural civic life.","Ralph J. Perk The City of Cleveland’s 52nd mayor, Ralph J. Perk, was well known for his human rights advocacy and his anti-communist, anti-totalitarian stance. Before becoming Mayor, Perk served Ward 13 (Broadway/East 55th area) as its council member for five terms. In 1962, Perk, a Republican, won the first countywide election in Cuyahoga County in fifty years, and was elected as Auditor. He was re-elected to this position for two more terms. He had two unsuccessful attempts at a run for Mayor.",yes,Czech,First-pass nationality/heritage tags promoted from CIHOF profile text and class/source-page context. Source: https://clevelandinternationalhalloffame.com/ralph-perk-2011/mayor-ralph-perk-2011/,"First-pass visitor copy generated from CIHOF official profile text on 2026-09-12.|Treat CIHOF profile text as the baseline source of truth for this pass.|Media rights, video captions/transcripts, and WRHS archival permissions remain separate review tracks."
reverend-dr-otis-moss-jr-2011,"Reverend Dr. Otis Moss, Jr.",2011,https://clevelandinternationalhalloffame.com/reverend-dr-otis-moss-jr-2011/,yes,"Reverend Dr. Otis Moss, Jr. Theologian, pastor and civic leader, the Reverend Dr. Otis Moss, Jr. is one of America’s most influential leaders.",Class of 2011 honoree connected to African-American. Inducted by Congressman Louis Stokes.,"Contributions to faith and service, education, and civic leadership within African-American heritage communities and to Greater Cleveland's multicultural civic life.","Reverend Dr. Otis Moss, Jr. Theologian, pastor and civic leader, the Reverend Dr. Otis Moss, Jr. is one of America’s most influential leaders. He was born in La Grange, GA. He earned his bachelor’s degree from Morehouse College, his master of divinity degree from Morehouse School of Religion/Inter-denominational Theological Center and his doctor of ministry degree from the United Theological Seminary. In 2008, Reverend Moss retired from Olivet Institutional Baptist Church located in Cleveland, Ohio following thirty-three years of distinguished service.",yes,African-American,First-pass nationality/heritage tags promoted from CIHOF profile text and class/source-page context. Source: https://clevelandinternationalhalloffame.com/reverend-dr-otis-moss-jr-2011/,"First-pass visitor copy generated from CIHOF official profile text on 2026-09-12.|Treat CIHOF profile text as the baseline source of truth for this pass.|Media rights, video captions/transcripts, and WRHS archival permissions remain separate review tracks."
tony-petkovsek-2011,Tony Petkovsek,2011,https://clevelandinternationalhalloffame.com/tony-petkovsek-2011/,yes,"Tony Petkovsek has been on daily polka radio since 1961, an unprecedented 50 years. His popular music and community service show, he produces and announces, is interspersed with interviews of civic, travel and entertainment personalities and is heard for two hours, Monday thru Friday from 2 till 4PM...",Class of 2011 honoree connected to Slovenian. Inducted by Terry Stewart.,"Contributions to arts and culture, civic leadership, and community organizing within Slovenian heritage communities and to Greater Cleveland's multicultural civic life.","Tony Petkovsek has been on daily polka radio since 1961, an unprecedented 50 years. His popular music and community service show, he produces and announces, is interspersed with interviews of civic, travel and entertainment personalities and is heard for two hours, Monday thru Friday from 2 till 4PM and Saturday from Noon till 2PM on WELW-1330AM and also simulcasts worldwide on the internet at WWW. For some 40 years the programs had been done on location at the former Tony’s Polka Village/Polka Tour Headquarters of Kollander World Travel on East 185th Street and now from his own studio broadcasting live at his condo-home at Harbortowne Point in Fairport Harbor, Ohio. Prior to 1981 he was on the FM...",yes,Slovenian,First-pass nationality/heritage tags promoted from CIHOF profile text and class/source-page context. Source: https://clevelandinternationalhalloffame.com/tony-petkovsek-2011/,"First-pass visitor copy generated from CIHOF official profile text on 2026-09-12.|Treat CIHOF profile text as the baseline source of truth for this pass.|Media rights, video captions/transcripts, and WRHS archival permissions remain separate review tracks."
