tieId,decision,kind,direction,label,inverseLabel,decisionReference,note
preview:person-rel:65f460e66edd9f,relationship,collaborated-with,a-to-b,"Erika Puussaar and Pierre Bejjani worked together through the Cleveland Cultural Gardens Federation. As Federation vice president, Puussaar helped welcome the Lebanese community into the Gardens network, while Bejjani became a key leader in developing the Lebanese Cultural Garden and later served on the Federation’s executive board.",,connections-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
preview:person-rel:b85c29edad58f0,relationship,collaborated-with,a-to-b,"Erika Puussaar and Ralph Perk Jr. were connected through Cleveland’s American Nationalities Movement. While Perk served as president of the organization, Puussaar was recognized with its Freedom Award in 2016 for her longstanding service to the Estonian community and her advocacy for Baltic heritage and freedom.",,connections-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
preview:person-rel:897f566075161f,context,,,"Jim Craciun and Dick Pogue are connected through Cleveland’s international and multicultural civic community. Both built long records of service involving international affairs and community organizations and later became members of the Cleveland International Hall of Fame, where they remained active participants in the Hall’s broader network.",,connections-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
preview:person-rel:a9a22722d7309e,context,,,"Johnny K. Wu and Aklilu Demessie are longtime participants in Cleveland’s multicultural civic community, representing the Chinese-American and Ethiopian-American communities respectively. Their work has overlapped through cross-cultural events, the Cleveland Cultural Gardens network, and efforts to strengthen connections among the region’s diverse international communities.",,connections-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
preview:person-rel:1f7ceed61f472a,relationship,collaborated-with,a-to-b,"Le Nguyen worked with Mayor Frank Jackson through Cleveland’s Community Relations Board, serving as the city’s Asian Liaison during Jackson’s administration. Jackson recognized Nguyen’s decades of service with a proclamation of appreciation in 2012 and later wrote the remarks for Nguyen’s 2026 induction into the Cleveland International Hall of Fame.",,connections-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
preview:person-rel:5e81381bc906c0,relationship,collaborated-with,a-to-b,"Le Nguyen and Valarie McCall worked within Cleveland City Hall’s community and multicultural affairs network during the Frank Jackson administration. Their connection was highlighted again in 2026, when McCall inducted Nguyen into the Cleveland International Hall of Fame and delivered the remarks prepared by former Mayor Jackson.",,connections-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
preview:person-rel:b6d6c274603e3d,relationship,collaborated-with,a-to-b,"Paramjit Singh worked with George Voinovich through the Mayor’s Asian Advisory Council, where Singh served as an executive member and helped strengthen communication between Cleveland City Hall and the region’s growing Asian communities. Their shared civic legacy was later recognized when both became members of the Cleveland International Hall of Fame’s inaugural 2010 class.",,connections-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
preview:person-rel:e0392db8b27982,context,,,"Samuel H. Miller and Nacy Panzica were part of the same Cleveland philanthropic and Catholic civic network, with overlapping ties to John Carroll University and diocesan institutions. Their shared record of community service was recognized in 2013, when both were inducted into the Cleveland International Hall of Fame.",,connections-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
preview:person-rel:bf085364d09f59,relationship,collaborated-with,a-to-b,"Ralph J. Perk and George Voinovich were close friends, political allies, and major figures in Cleveland public life. Although they competed for the Republican mayoral nomination in 1971, Perk later appointed Voinovich as Cuyahoga County Auditor. Voinovich went on to serve as Cleveland mayor, Ohio governor, and U.S. senator, continuing a civic and political relationship rooted in Cleveland.",,connections-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
preview:person-rel:0622edc19194e9,relationship,family-of,a-to-b,"Tony Petkovsek and George Voinovich were longtime friends whose relationship connected Cleveland’s Slovenian community with civic and public life. Voinovich appointed Petkovsek to public-service roles in Cleveland and on the Ohio Arts Council, while Petkovsek supported Voinovich through community outreach and served as master of ceremonies for two of his gubernatorial inaugurations.",,connections-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
preview:person-rel:6d69f4f9d65b17,relationship,collaborated-with,a-to-b,"Sister Alicia Alvarado and José C. Feliciano have known one another since their school years and spent decades serving Cleveland’s Hispanic community. They partnered on community initiatives, later reflected together on Cleveland’s Hispanic civic history, and Feliciano personally inducted Alvarado into the Cleveland International Hall of Fame in 2018.",,connections-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
preview:person-rel:f4681a01a1ab23,relationship,collaborated-with,a-to-b,"Le Nguyen worked with George Voinovich during Voinovich’s tenure as Mayor of Cleveland, helping strengthen relationships between City Hall and the city’s Asian-American communities. Nguyen worked in community relations and helped support the Mayor’s Asian Advisory Council, part of a broader effort to give Cleveland’s growing Asian communities a stronger voice in city government.",,connections-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
preview:person-rel:1786508f3c767c,relationship,collaborated-with,a-to-b,"Lucy Torres worked closely with Mayor Frank Jackson during a decade of service as a community liaison in his administration. From 2006 to 2016, she helped connect Cleveland’s Latino and multicultural communities with City Hall through outreach, community initiatives, and the Mayor’s Advisory Board.",,connections-review-2026-09-24,Reviewed by Tony Yanick in the staff review app.
